[2023-03-06 19:22:18:1887][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 19.0.1 on DESKTOP-E728VN7 with PID 10656 (C:\Users\jungrule\Downloads\weatherProject\weather\build\classes\java\main started by jungrule in C:\Users\jungrule\Downloads\weatherProject\weather)
[2023-03-06 19:22:18:1898][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2023-03-06 19:22:22:5008][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-03-06 19:22:22:5256][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 217 ms. Found 3 JPA repository interfaces.
[2023-03-06 19:22:24:6937][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-03-06 19:22:24:6975][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-03-06 19:22:24:6976][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-03-06 19:22:24:6977][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
[2023-03-06 19:22:26:9312][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2023-03-06 19:22:26:9313][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7224 ms
[2023-03-06 19:22:26:9759][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-03-06 19:22:27:10541][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-03-06 19:22:27:10668][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-03-06 19:22:27:10855][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.10.Final
[2023-03-06 19:22:28:11328][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-03-06 19:22:28:11639][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2023-03-06 19:22:30:13564][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-03-06 19:22:30:13589][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-03-06 19:22:32:15377][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-03-06 19:22:34:16956][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-03-06 19:22:34:17040][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-03-06 19:22:34:17443][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 16.893 seconds (JVM running for 21.406)
[2023-03-06 19:22:39:22260][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-03-06 19:22:39:22264][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-03-06 19:22:39:22278][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
